#purity EB:              purity EB error:      purity EE:          purity EE error:
#purity EB:       purity EE: 
0.971275526399    0.902418828917
0.972149898335    0.905688540733
0.979047147226    0.935270876343
0.987103486324    0.963797138832
#purity EB error:       purity EE error: 
0.00792024205367    0.0275113079413
0.00669683711033    0.0290566292777
0.00940488320833    0.038891274027
0.00578569073233    0.0223323465543
#purity EB:              purity EB error:      purity EE:          purity EE error:
#purity EB:       purity EE: 
0.971275526399    0.902418828917
0.972149898335    0.905688540733
0.979047147226    0.935270876343
0.987103486324    0.963797138832
#purity EB error:       purity EE error: 
0.00792024205367    0.0275113079413
0.00669683711033    0.0290566292777
0.00940488320833    0.038891274027
0.00578569073233    0.0223323465543
#purity EB:              purity EB error:      purity EE:          purity EE error:
#purity EB:       purity EE: 
0.971275526399    0.902418828917
0.972149898335    0.905688540733
0.979047147226    0.935270876343
0.987103486324    0.963797138832
#purity EB error:       purity EE error: 
0.00792024205367    0.0275113079413
0.00669683711033    0.0290566292777
0.00940488320833    0.038891274027
0.00578569073233    0.0223323465543
