#purity EB:              purity EB error:      purity EE:          purity EE error:
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.9710918598856667      0.007496443926666707   0.914854633375      0.015520541811
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.977619477769          0.00980409906300006    0.936992166957  0.036784889245
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
0.9867390363393334      0.005828495332333317   0.976269945      0.0144824594443
