#purity EB:              purity EB error:      purity EE:          purity EE error:
#purity EB:       purity EE: 
0.926677595641    0.845768424526
0.918666584933    0.840219187296
0.928299271246    0.890384154401
0.942038418184    0.926640398134
#purity EB error:       purity EE error: 
0.0208572424927    0.007109664737
0.019607036243    0.0264862640787
0.0238427205693    0.032592557355
0.0191207386857    0.021757376628
#purity EB:              purity EB error:      purity EE:          purity EE error:
#purity EB:       purity EE: 
0.926677595641    0.845768424526
0.918666584933    0.840219187296
0.928299271246    0.890384154401
0.942038418184    0.926640398134
#purity EB error:       purity EE error: 
0.0208572424927    0.007109664737
0.019607036243    0.0264862640787
0.0238427205693    0.032592557355
0.0191207386857    0.021757376628
#purity EB:              purity EB error:      purity EE:          purity EE error:
#purity EB:       purity EE: 
0.926677595641    0.845768424526
0.918666584933    0.840219187296
0.928299271246    0.890384154401
0.942038418184    0.926640398134
#purity EB error:       purity EE error: 
0.0208572424927    0.007109664737
0.019607036243    0.0264862640787
0.0238427205693    0.032592557355
0.0191207386857    0.021757376628
