#purity EB:              purity EB error:      purity EE:          purity EE error:
#purity EB:       purity EE: 
0.926677595641    0.850048793721
0.918666584933    0.843433499208
0.928299271246    0.891857094114
0.942038418184    0.927476917457
#purity EB error:       purity EE error: 
0.0208572424927    0.00849896600467
0.019607036243    0.0236314241237
0.0238427205693    0.0313599744333
0.0191207386857    0.0209623437143
#purity EB:              purity EB error:      purity EE:          purity EE error:
#purity EB:       purity EE: 
0.926677595641    0.850048793721
0.918666584933    0.843433499208
0.928299271246    0.891857094114
0.942038418184    0.927476917457
#purity EB error:       purity EE error: 
0.0208572424927    0.00849896600467
0.019607036243    0.0236314241237
0.0238427205693    0.0313599744333
0.0191207386857    0.0209623437143
